city,country
Gaggi,Italy
Künzelsau,Germany
Hamburg,Germany
Memmingen,Germany
Bamberg,Germany
Stadtoldendorf,Germany
Augsburg,Germany
Trier,Germany
Stralsund,Germany
Oldenburg (Oldenburg),Germany
"Bogazköy, Türkei",Turkey
"Cayirli, Türkei",Turkey
"Posof, Türkei",Turkey
Istanbul,Turkey
"Kigi, Türkei",Turkey
Sana'a,Yemen
"Dyala, Irak",Iraq
"Kairo, Ägypten",Egypt
Akcadag,Turkey
Schongau,Germany
St. Wendel,Germany
Saarbrücken,Germany
Rahden (Westf.),Germany
Freilassing,Germany
Bremen,Germany
Eschwege,Germany
"Szeged, Ungarn",Hungary
Helmstedt,Germany
Essen,Germany
"Toronto, Kanada",Canada
"Bern, Schweiz",Switzerland
Zeitz,Germany
Jena,Germany
Eitorf,Germany
Bad Schwartau,Germany
Landau a.d.Isar,Germany
"Derik, Türkei",Turkey
Frunse,Kyrgyzstan
"Beaconsfield, England",United Kingdom
Braubach,Germany
Völklingen,Germany
Moers,Germany
Unna,Germany
Hagen,Germany
Berlin,Germany
"Erzincan, Türkei",Turkey
Neumünster,Germany
Oelsnitz/Vogtl.,Germany
Pforzheim,Germany
Salzgitter,Germany
Tübingen,Germany
Namur,Belgium
Fürth (Bay.),Germany
Köln,Germany
Lichfield,United Kingdom
Eppstein,Germany
Bad Canstatt,Germany
Fürth,Germany
Halle (Westf.),Germany
"Karacasu, Türkei",Turkey
Landshut,Germany
Offenburg,Germany
Straubing,Germany
Gudensberg,Germany
Lüneburg,Germany
Bocholt,Germany
München,Germany
Düsseldorf,Germany
Karlsruhe,Germany
Neuburg a.d.Donau,Germany
Spaichingen,Germany
Kempten,Germany
Lahn-Wetzlar,Germany
Wiesbaden,Germany
"Duala, Kamerun",Cameroon
Witten,Germany
Hamburg-Bergedorf,Germany
Filderstadt,Germany
Calbe (Saale),Germany
Olpe,Germany
Rosenheim,Germany
Kirchhellen,Germany
Ludwigsburg,Germany
Frankfurt am Main,Germany
Mönchengladbach,Germany
Neuwied,Germany
Pinneberg,Germany
Fulda,Germany
Daun,Germany
Reutlingen (Württ.),Germany
Hildesheim,Germany
Lippstadt,Germany
Limburg a.d. Lahn,Germany
Hüls (Krefeld),Germany
Nürnberg,Germany
Osnabrück,Germany
Achern,Germany
Nordhausen,Germany
Zörbig,Germany
Preetz,Germany
Bad Wildungen,Germany
Stuttgart,Germany
Dresden,Germany
Neuruppin,Germany
Ludwigshafen am Rhein,Germany
Görisried,Germany
Neuendettelsau,Germany
Uslar,Germany
Perleberg,Germany
London,United Kingdom
Frankfurt,Germany
Bad Essen,Germany
Berlin-Schmargendorf,Germany
Emmendingen,Germany
Hannover,Germany
Neuenkirchen (Steinfurt),Germany
Schkeuditz,Germany
Weimar,Germany
Clermont-Ferrand,France
Bonn,Germany
Werdohl (Lüdenscheid),Germany
Magdeburg,Germany
Saarlouis,Germany
Périgueux,France
Rheinhausen,Germany
Buchholz in der Nordheide,Germany
Peine,Germany
Lübeck,Germany
Rudolstadt,Germany
Lüdersdorf,Germany
Stutensee,Germany
Münchberg,Germany
Budapest,Hungary
Mülheim an der Ruhr,Germany
Delmenhorst,Germany
Erlenbach a.Main,Germany
Lutherstadt Eisleben,Germany
Mainz,Germany
"Wrocław, Polen",Poland
Krakau,Poland
Salzburg,Austria
Freiburg im Breisgau,Germany
Radebeul,Germany
Bergisch Gladbach,Germany
Frankenberg (Eder),Germany
Bad Brückenau,Germany
Zweibrücken,Germany
Gießen,Germany
"Kabul, Afghanistan",Afghanistan
Herbolzheim,Germany
Detmold,Germany
Wegberg,Germany
Elsterwerda,Germany
Wesel,Germany
Koblenz,Germany
Eilenburg,Germany
Sonneberg,Germany
Löningen,Germany
Mannheim,Germany
"Denizli, Türkei",Turkey
"Antakya, Türkei",Turkey
Moncalieri,Italy
Solingen,Germany
Rom,Italy
Schlüchtern,Germany
Duisburg,Germany
Simmern/ Hunsrück,Germany
Gelsenkirchen,Germany
Heppenheim (Bergstraße),Germany
Bad Kötzting,Germany
Hamburg-Eimsbüttel,Germany
"Amasya, Türkei",Turkey
Cloppenburg,Germany
Schwäbisch Hall,Germany
Malatya,Turkey
Suhl,Germany
Berlin-Charlottenburg,Germany
Hamm (Westf.),Germany
Uslar (Solling),Germany
Müllheim,Germany
Bautzen,Germany
Marburg,Germany
Würzburg,Germany
Frankfurt (Oder),Germany
Kemnath,Germany
Kiel,Germany
Hüttental-Weidenau,Germany
Wittlich,Germany
Münster,Germany
"Civril, Türkei",Turkey
Rodewisch,Germany
Rehren (Hohnhorst),Germany
Dortmund,Germany
Leer,Germany
Haltern,Germany
Meerane,Germany
Ludwigsfelde,Germany
Oberviechtach,Germany
Erlangen,Germany
Oberlahnstein (Lahnstein),Germany
Kötzting,Germany
Regensburg,Germany
Bad Friedrichshall,Germany
Moskau,Russia
Eggenfelden,Germany
"Kirsehir, Türkei",Turkey
Bielefeld,Germany
Bad Saarow,Germany
Schwalmstadt,Germany
Amberg,Germany
Bitburg,Germany
Talas,Kyrgyzstan
Osterode,Germany
Oettingen i.Bay.,Germany
Berchtesgaden,Germany
Kabul,Afghanistan
Waiblingen,Germany
Krefeld,Germany
Hamm,Germany
Passau,Germany
Lauf a.d.Pegnitz,Germany
Templin,Germany
Legau,Germany
Saarburg,Germany
Henstedt-Ulzburg,Germany
Königsberg (Ostpr.),Germany
Bad Nauheim,Germany
Freising,Germany
Mühlhausen,Germany
"Dragomirești, Rumänien",Romania
Kaiserslautern,Germany
Tichau,Poland
Aachen,Germany
Dieburg,Germany
Burgsteinfurt,Germany
Immerath,Germany
Eichstätt,Germany
Derenbach,Luxembourg
Bensheim,Germany
Mainburg,Germany
Bad Kreuznach,Germany
Stadtsteinach,Germany
Greifswald,Germany
Bottrop,Germany
Schwäbisch Gmünd,Germany
Palomonte,Italy
Montreuil-sous-Bois,France
Kirchhain (Lahn),Germany
Meckenheim,Germany
Freiburg,Germany
Offenbach am Main,Germany
Halle (Saale),Germany
"Arnissa, Griechenland",Greece
Coesfeld,Germany
Las Palmas,Spain
Lingen (Ems),Germany
Norden,Germany
Kiew,Ukraine
Brandenburg an der Havel,Germany
