(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlbewerberinnen und Wahlbewerber für die Wahl zum 9. Europäischen Parlament (26. Mai 2019) aus der Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand:;12.04.2019;08:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Titel;Namenszusatz;Nachname;Vorname;Geschlecht;Geburtjahr;PLZ;Wohnort;WohnortLandAbk;Geburtsort;Staatsangehörigkeit;Beruf;Berufsschluessel;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;GebietLandAbk;Gruppenname;GruppennameLang;Listenplatz;VerknKennzeichen;VerknGebietsart;VerknGebietsnummer;VerknGebietsname;VerknGebietLandAbk;VerknGruppenname;VerknListenplatz;VorpGewaehlt
EP;26.05.2019;;;Abate;Francesco;m;1957;87700;Memmingen;BY;Gaggi;DE;Techniker;27;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;80;;;;;;;;
EP;26.05.2019;;;Abel;Valentin Christian;m;1991;74214;Schöntal;BW;Künzelsau;DE;Betriebswirt;71;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;31;;;;;;;;
EP;26.05.2019;;;Abraham;Knut Friedrich Alexander;m;1966;02-956;Warschau (Polen);Ausland;Hamburg;DE;Diplomat;73;Bewerber;Land;12;Brandenburg;BB;CDU;Christlich Demokratische Union Deutschlands;3;;;;;;;;
EP;26.05.2019;;;Abt;Alexander;m;1971;87700;Memmingen;BY;Memmingen;DE;Polizeibeamter;53;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;3;;;;;;;;
EP;26.05.2019;;;Achtziger;Alina Christine;w;1999;96052;Bamberg;BY;Bamberg;DE;Studentin;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;125;;;;;;;;
EP;26.05.2019;;;Adam;Harm Otto Heinrich;m;1963;37120;Bovenden;NI;Stadtoldendorf;DE;Rechtsanwalt;73;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;18;;;;;;;;
EP;26.05.2019;;;Adam;Benjamin;m;1992;86157;Augsburg;BY;Augsburg;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;42;;;;;;;;
EP;26.05.2019;Dr.;;Adam;Michael;m;1962;13158;Berlin;BE;Trier;DE;Rechtsanwalt;73;Bewerber;Bund;99;Bundesgebiet;Bund;AfD;Alternative für Deutschland;17;;;;;;;;
EP;26.05.2019;;;Adelsberger;Eric;m;1990;18057;Rostock;MV;Stralsund;DE;Kaufmann;61;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;21;;;;;;;;
EP;26.05.2019;;;Ahlers;Uwe Horst;m;1953;18556;Dranske;MV;Oldenburg (Oldenburg);DE;selbstständig, Dipl.-Kaufmann;61;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;168;;;;;;;;
